时间	桩号	地点	车速（km/h）	车牌
time	station	location	m_fSpeed	m_strCarNum
2021/4/25 15:21	K56+400	青龙立交	6308	蓝渝F059A8
2021/4/25 15:21	K56+400	青龙立交	4597	蓝渝DAK505
2021/4/25 15:21	K56+400	青龙立交	4295	蓝渝FQW911
2021/4/25 15:23	K56+400	青龙立交	4806	蓝渝F9U717
2021/4/25 15:23	K56+400	青龙立交	4628	蓝渝F518B3
2021/4/25 15:21	K56+400	青龙立交	4798	蓝渝DDZ516
2021/4/25 15:23	K56+400	青龙立交	1998	蓝渝B73089
2021/4/25 15:21	K56+400	青龙立交	4008	蓝渝F2W035
2021/4/25 15:22	K56+400	青龙立交	4791	蓝渝A9NV86
2021/4/25 15:22	K56+400	青龙立交	5135	蓝渝AJL945
2021/4/25 15:22	K56+400	青龙立交	4374	蓝渝AZ001Z
2021/4/25 15:22	K56+400	青龙立交	3861	蓝浙F855UW
2021/4/25 15:22	K56+400	青龙立交	4465	蓝渝F5X510
2021/4/25 15:22	K56+400	青龙立交	3946	蓝渝F67T57
2021/4/25 15:22	K56+400	青龙立交	4786	蓝渝A959T9
2021/4/25 15:24	K56+400	青龙立交	4594	蓝渝F5E838
2021/4/25 15:22	K56+400	青龙立交	4750	蓝渝FGL506
2021/4/25 15:22	K56+400	青龙立交	4647	蓝渝A0316T
2021/4/25 15:22	K56+400	青龙立交	3810	蓝渝F710K3
2021/4/25 15:24	K56+400	青龙立交	4474	蓝渝F16K87
2021/4/25 15:22	K56+400	青龙立交	5597	蓝渝F13589
2021/4/25 15:24	K56+400	青龙立交	4423	蓝渝AP5P28
2021/4/25 15:22	K56+400	青龙立交	4698	蓝粤B0B965
2021/4/25 15:22	K56+400	青龙立交	5379	蓝渝AZ183W
2021/4/25 15:22	K56+400	青龙立交	5533	蓝渝F79E08
2021/4/25 15:24	K56+400	青龙立交	4153	蓝渝DLW102
2021/4/25 15:24	K56+400	青龙立交	4230	蓝渝FFT396
2021/4/25 15:23	K56+400	青龙立交	3987	蓝渝D636J2
2021/4/25 15:25	K56+400	青龙立交	4706	蓝渝FLZ869
2021/4/25 15:23	K56+400	青龙立交	5207	蓝渝DB7228
2021/4/25 15:25	K56+400	青龙立交	4412	绿渝AD77016
2021/4/25 15:25	K56+400	青龙立交	4096	蓝渝AL21E9
2021/4/25 15:23	K56+400	青龙立交	5411	蓝渝FB2687
2021/4/25 15:25	K56+400	青龙立交	4515	蓝渝AQ32F1
2021/4/25 15:23	K56+400	青龙立交	4500	绿渝AD38823
2021/4/25 15:23	K56+400	青龙立交	4480	NO
2021/4/25 15:23	K56+400	青龙立交	4853	蓝渝DHJ903
2021/4/25 15:23	K56+400	青龙立交	5045	蓝渝FBB777
2021/4/25 15:23	K56+400	青龙立交	4881	蓝渝FEH298
2021/4/25 15:25	K56+400	青龙立交	4500	蓝渝F3X992
2021/4/25 15:23	K56+400	青龙立交	4243	蓝渝F353L8
2021/4/25 15:25	K56+400	青龙立交	4387	蓝渝F02W76
2021/4/25 15:25	K56+400	青龙立交	3858	蓝渝F7U101
2021/4/25 15:23	K56+400	青龙立交	3488	黄渝AG2273
2021/4/25 15:23	K56+400	青龙立交	4825	蓝渝AX6H38
2021/4/25 15:25	K56+400	青龙立交	4016	蓝渝D366F7
2021/4/25 15:23	K56+400	青龙立交	5291	蓝渝F90U50
2021/4/25 15:23	K56+400	青龙立交	4586	蓝渝A1535R
2021/4/25 15:25	K56+400	青龙立交	3670	蓝渝FNW055
2021/4/25 15:25	K56+400	青龙立交	3622	蓝渝FE6928
2021/4/25 15:23	K56+400	青龙立交	4665	蓝渝A2H1W8
2021/4/25 15:25	K56+400	青龙立交	3725	蓝渝D27155
2021/4/25 15:24	K56+400	青龙立交	4405	蓝渝AF266Q
2021/4/25 15:25	K56+400	青龙立交	4924	蓝渝F7T015
2021/4/25 15:24	K56+400	青龙立交	4968	蓝渝A8TQ37
2021/4/25 15:26	K56+400	青龙立交	5698	蓝渝FY7162
2021/4/25 15:24	K56+400	青龙立交	4071	蓝渝D9N261
2021/4/25 15:26	K56+400	青龙立交	4173	蓝渝F86T87
2021/4/25 15:24	K56+400	青龙立交	4647	蓝渝FBN806
2021/4/25 15:24	K56+400	青龙立交	4988	蓝渝F16K99
2021/4/25 15:24	K56+400	青龙立交	4531	蓝渝A3FL55
2021/4/25 15:24	K56+400	青龙立交	4431	蓝渝A72WD5
2021/4/25 15:26	K56+400	青龙立交	3907	蓝渝A011NP
2021/4/25 15:24	K56+400	青龙立交	4441	蓝渝FMA985
2021/4/25 15:26	K56+400	青龙立交	4188	蓝渝A80HQ9
2021/4/25 15:24	K56+400	青龙立交	4603	蓝渝AT6L57
2021/4/25 15:24	K56+400	青龙立交	4737	蓝渝DLN526
2021/4/25 15:26	K56+400	青龙立交	4684	蓝渝F81A80
2021/4/25 15:26	K56+400	青龙立交	3866	蓝渝DS2950
2021/4/25 15:26	K56+400	青龙立交	4782	蓝渝F3G381
2021/4/25 15:25	K56+400	青龙立交	4830	蓝渝A33315
2021/4/25 15:26	K56+400	青龙立交	4439	蓝渝F8A399
2021/4/25 15:25	K56+400	青龙立交	4777	绿渝AD20890
2021/4/25 15:25	K56+400	青龙立交	4782	蓝渝AW9528
2021/4/25 15:25	K56+400	青龙立交	3663	蓝渝DR1080
2021/4/25 15:25	K56+400	青龙立交	5837	蓝渝AT683K
2021/4/25 15:25	K56+400	青龙立交	3585	黄渝A09083D
2021/4/25 15:25	K56+400	青龙立交	4704	绿渝AD19332
2021/4/25 15:25	K56+400	青龙立交	4757	NO
